question,query,db_name,query_category
"What is the total number of students who participated actively in each course, ordered from highest to lowest?","SELECT course_tags_count.course_id, course_tags_count.participation FROM course_tags_count ORDER BY course_tags_count.participation DESC NULLS LAST;",advising,order_by
What is the ratio of helpfulness scores to clarity scores for each course?,"SELECT    course.course_id,    CAST(course.helpfulness_score AS FLOAT) / NULLIF(course.clarity_score, 0) AS ratio FROM    course;",advising,ratio
How does the ratio of enrolled students to the number of reviews vary across different courses?,"SELECT    course.course_id,    CAST(course.num_enrolled AS FLOAT) / NULLIF(course.num_reviews, 0) AS student_review_ratio FROM    course ORDER BY    student_review_ratio NULLS LAST;",advising,ratio
What is the ratio of the number of courses with projects to the number of courses with exams in each semester?,"SELECT    course_offering.semester,    CAST(SUM(CASE WHEN course.has_projects THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN course.has_exams THEN 1 ELSE 0 END), 0) AS ratio FROM    course  JOIN    course_offering ON course.course_id = course_offering.course_id GROUP BY    course_offering.semester ORDER BY    course_offering.semester NULLS LAST;",advising,ratio
What is the ratio of the number of students who found the grading criteria clear and easy to understand to the number of students who received good feedback from the instructor for each course?,"SELECT    course_tags_count.course_id,    CAST(course_tags_count.clear_grading AS FLOAT) / NULLIF(course_tags_count.good_feedback, 0) AS ratio FROM    course_tags_count ORDER BY    course_tags_count.course_id NULLS LAST;",advising,ratio
What is the ratio of the total number of students enrolled in courses with exams to the total number of students enrolled in courses without exams?,"SELECT    CAST(SUM(CASE WHEN course.has_exams THEN course.num_enrolled ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN NOT course.has_exams THEN course.num_enrolled ELSE 0 END), 0) AS ratio FROM    course;",advising,ratio
Which courses have a final project and a final exam?,SELECT DISTINCT course.name FROM course_offering JOIN course ON course_offering.course_id = course.course_id WHERE course_offering.has_final_project AND course_offering.has_final_exam;,advising,table_join
What is the total number of credits earned by students in each program?,"SELECT program.name, SUM(student.total_credit) AS total_credits FROM student JOIN program ON student.program_id = program.program_id GROUP BY program.name;",advising,table_join
How many students have declared a major in each program?,"SELECT program.name, COUNT(student.student_id) AS number_of_students FROM student JOIN program ON student.program_id = program.program_id WHERE student.declare_major IS NOT NULL GROUP BY program.name ORDER BY number_of_students DESC;",advising,table_join
Which courses have been taken by students in the Computer Science program?,SELECT DISTINCT course.name AS course_name FROM student JOIN student_record ON student.student_id = student_record.student_id JOIN program ON student.program_id = program.program_id JOIN course ON student_record.course_id = course.course_id WHERE program.name = 'Computer Science';,advising,table_join
What is the total number of students who have taken a course with a final project or exam?,SELECT COUNT(DISTINCT student_record.student_id) AS total_students FROM student_record JOIN course_offering ON student_record.course_id = course_offering.course_id WHERE course_offering.has_final_project OR course_offering.has_final_exam;,advising,table_join
How many students have taken a course in-person vs. online?,"SELECT    student_record.how,    COUNT(DISTINCT student_record.student_id) AS num_students FROM    student_record WHERE    student_record.how IN ('in-person', 'online') GROUP BY    student_record.how;",advising,where
What are the names of all the courses offered by the department of Computer Science?,SELECT course.name  FROM course  WHERE course.department = 'Computer Science'  ORDER BY course.name ASC NULLS LAST;,advising,where
"How many students have declared a minor program, and what are their names? Order the results by the students' last names.","SELECT student.firstname, student.lastname FROM student WHERE student.minor IS NOT NULL ORDER BY student.lastname NULLS LAST;",advising,where
"What are the individual ratios of easiness scores to helpfulness scores for courses in the ""Computer Science"" department? return the names and the ratios.","SELECT name, cast(course.easiness_score as float) / nullif(course.helpfulness_score, 0) as ratio FROM course WHERE course.department ilike '%Computer Science%';",advising,where
"What is the average GPA of students in the program ""Computer Engineering""?",SELECT AVG(student.total_gpa)  FROM student  JOIN program ON student.program_id = program.program_id  WHERE LOWER(program.name) LIKE '%computer engineering%';,advising,where
What is the total cost of round-trip fares for each airline?,"SELECT fare.fare_airline, SUM(fare.round_trip_cost) AS total_round_trip_cost FROM fare GROUP BY fare.fare_airline ORDER BY total_round_trip_cost DESC;",atis,group_by
How many flights are there from each airport?,"SELECT flight.from_airport, COUNT(*) AS number_of_flights FROM flight GROUP BY flight.from_airport ORDER BY number_of_flights ASC NULLS LAST;",atis,group_by
"What is the average cost of a one-way trip for each fare, sorted in ascending order?","SELECT fare.fare_id, AVG(fare.one_direction_cost) AS average_cost FROM fare GROUP BY fare.fare_id ORDER BY average_cost ASC NULLS LAST;",atis,group_by
"How many meals are served in each compartment, sorted by the number of meals in descending order?","SELECT food_service.compartment, COUNT(food_service.meal_number) AS number_of_meals FROM food_service GROUP BY food_service.compartment ORDER BY number_of_meals DESC NULLS LAST;",atis,group_by
"What is the average cost of round-trip fares from Los Angeles (LAX) to Chicago (ORD)?","SELECT AVG(fare.round_trip_cost) AS average_cost FROM fare WHERE fare.from_airport = 'LAX' AND fare.to_airport = 'ORD' GROUP BY fare.from_airport, fare.to_airport;",atis,group_by
Which aircraft can carry the highest weight of cargo that any aircraft can carry?,"SELECT aircraft.aircraft_code, aircraft.pay_load FROM aircraft ORDER BY pay_load DESC NULLS LAST LIMIT 1;",atis,order_by
"Which flights to Chicago (ORD) have the longest duration from departure to arrival, sorted in ascending order?","SELECT flight.flight_id, (flight.arrival_time - flight.departure_time) AS duration FROM flight WHERE to_airport = 'ORD' ORDER BY duration ASC NULLS LAST;",atis,order_by
What are the top 2 airlines with the most flights?,"SELECT airline.airline_name, COUNT(flight.flight_id) AS number_of_flights FROM flight JOIN airline ON flight.airline_code = airline.airline_code GROUP BY airline.airline_name ORDER BY number_of_flights DESC NULLS LAST LIMIT 2;",atis,order_by
"Which airports have the shortest minimum connect time, sorted in ascending order?","SELECT airport.airport_name, airport.minimum_connect_time FROM airport ORDER BY airport.minimum_connect_time ASC NULLS LAST;",atis,order_by
"What are the aircraft codes for all aircraft with a cruising speed of over 200 mph, sorted in ascending order?",SELECT aircraft.aircraft_code FROM aircraft WHERE aircraft.cruising_speed > 200 ORDER BY aircraft.aircraft_code ASC;,atis,order_by
What is the ratio of one-way trip costs to round-trip costs for each fare?,"SELECT fare.fare_id,         fare.one_direction_cost::float / NULLIF(fare.round_trip_cost, 0) AS cost_ratio FROM fare ORDER BY cost_ratio;",atis,ratio
What is the ratio of the weight of an aircraft to its maximum payload capacity?,"SELECT aircraft.weight::float / NULLIF(aircraft.pay_load, 0) AS weight_to_payload_ratio FROM aircraft;",atis,ratio
How does the ratio of the cruising speed to the payload of an aircraft vary across different aircraft manufacturers?,"SELECT    aircraft.manufacturer,    AVG(CAST(aircraft.cruising_speed AS FLOAT) / NULLIF(aircraft.pay_load, 0)) AS speed_payload_ratio FROM    aircraft GROUP BY    aircraft.manufacturer ORDER BY    speed_payload_ratio DESC NULLS LAST;",atis,ratio
What is the proportion of flights with stops out of all flights for each airline code?,"SELECT    flight.airline_code,    CAST(SUM(CASE WHEN flight.stops > 0 THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(COUNT(*), 0) AS ratio FROM    flight GROUP BY    flight.airline_code;",atis,ratio
What is the ratio of aircraft capacity to its range in miles for each aircraft code?,"SELECT aircraft.aircraft_code,         CAST(aircraft.capacity AS FLOAT) / NULLIF(aircraft.range_miles, 0) AS capacity_range_ratio FROM aircraft;",atis,ratio
Which airlines offer flights from LAX to ORD?,SELECT DISTINCT airline.airline_name FROM flight JOIN airline ON flight.airline_code = airline.airline_code WHERE flight.from_airport = 'LAX' AND flight.to_airport = 'ORD';,atis,table_join
Which flights serve meals in first class? Give me the flight id and meal description.,"SELECT flight.flight_id, food_service.meal_description FROM flight JOIN food_service ON flight.meal_code = food_service.meal_code WHERE LOWER(food_service.compartment) LIKE '%first class%';",atis,table_join
Which airlines offer flights with a stopover in Dallas?,SELECT DISTINCT airline.airline_name FROM flight_stop JOIN airport ON flight_stop.stop_airport = airport.airport_code JOIN flight ON flight_stop.flight_id = flight.flight_id JOIN airline ON flight.airline_code = airline.airline_code WHERE airport.airport_location = 'Dallas';,atis,table_join
Which airlines do not have flights that depart or arrive at JFK?,SELECT DISTINCT a.airline_name FROM public.airline a LEFT JOIN public.flight f ON a.airline_code = f.airline_code AND (f.to_airport = 'JFK' OR f.from_airport = 'JFK') GROUP BY 1 HAVING COUNT(f.flight_id) = 0;,atis,table_join
"Which airlines offer flights from Chicago (ORD) to New York (JFK), and how many stops do they have, sorted by number of stops?","SELECT    airline.airline_name,    flight.stops FROM    flight JOIN    airline ON flight.airline_code = airline.airline_code WHERE    flight.from_airport = 'ORD' AND flight.to_airport = 'JFK' GROUP BY    airline.airline_name,    flight.stops ORDER BY    flight.stops NULLS LAST;",atis,table_join
What is the total cost of a round-trip fare from New York (JFK) to Los Angeles?,SELECT SUM(fare.round_trip_cost) AS total_round_trip_cost FROM fare WHERE fare.from_airport = 'JFK' AND fare.to_airport = 'LAX';,atis,where
What is the minimum amount of time required for a connecting flight at JFK Airport?,SELECT minimum_connect_time  FROM airport  WHERE airport_code = 'JFK';,atis,where
How many flights require a round-trip to purchase the fare?,SELECT COUNT(*)  FROM fare  WHERE round_trip_required = 'Yes';,atis,where
Which flights operate on Mondays and Wednesdays? Give me the relevant flight numbers,SELECT flight.flight_number FROM flight WHERE LOWER(flight.flight_days) LIKE '%mon%' AND LOWER(flight.flight_days) LIKE '%wed%';,atis,where
Which state is Orlando International Airport in?,SELECT state_code  FROM airport  WHERE airport_name = 'Orlando International Airport';,atis,where
How many rivers flow through each country?,"SELECT river.country_name, COUNT(DISTINCT river.river_name) AS number_of_rivers FROM river GROUP BY river.country_name ORDER BY number_of_rivers DESC;",geography,group_by
What is the total population of each country in the database?,"SELECT city.country_name, SUM(city.population) AS total_population FROM city GROUP BY city.country_name ORDER BY total_population DESC NULLS LAST;",geography,group_by
How many lakes are there in each state?,"SELECT lake.state_name, COUNT(lake.lake_name) AS lake_count FROM lake GROUP BY lake.state_name ORDER BY lake_count DESC;",geography,group_by
What is the average length of rivers in each country?,"SELECT    river.country_name,    AVG(river.length) AS average_length FROM    river GROUP BY    river.country_name ORDER BY    average_length DESC NULLS LAST;",geography,group_by
How many mountains are there in each country?,"SELECT mountain.country_name, COUNT(mountain.mountain_name) AS number_of_mountains FROM mountain GROUP BY mountain.country_name ORDER BY number_of_mountains DESC;",geography,group_by
"Which lakes have the largest areas in square kilometers, ordered from largest to smallest?","SELECT lake.lake_name, lake.area FROM lake ORDER BY lake.area DESC NULLS LAST;",geography,order_by
"What are the longest rivers in meters, ordered from longest to shortest?","SELECT river.river_name, river.length FROM river ORDER BY river.length DESC NULLS LAST;",geography,order_by
"Which states have the highest population density in people per square kilometer, ordered from highest to lowest?","SELECT state.state_name, state.density FROM state ORDER BY state.density DESC NULLS LAST;",geography,order_by
"What are the highest mountains in meters, ordered from highest to lowest altitude?","SELECT mountain.mountain_name, mountain.mountain_altitude FROM mountain ORDER BY mountain.mountain_altitude DESC NULLS LAST;",geography,order_by
What are the top 5 cities with the highest population?,"SELECT city.city_name, city.population FROM city ORDER BY city.population DESC NULLS LAST LIMIT 5;",geography,order_by
Get the ratio of population per area for each state,"SELECT state_name, population / area AS population_density FROM state;",geography,ratio
"How does the population of each city vary in relation to the population of its corresponding state? Return the city name, and the proportion of each city's population relative to the state.","SELECT city.city_name, CAST(city.population AS float) / NULLIF(state.population, 0) AS population_ratio FROM city JOIN state ON city.state_name = state.state_name ORDER BY population_ratio DESC NULLS LAST;",geography,ratio
What is the ratio of the population of the United States to the population of California?,"SELECT    CAST(SUM(NULLIF(state.population, 0)) FILTER (WHERE LOWER(state.country_name) LIKE '%united states%') AS FLOAT) /    CAST(SUM(NULLIF(state.population, 0)) FILTER (WHERE LOWER(state.state_name) LIKE '%california%') AS FLOAT) AS population_ratio FROM    state;",geography,ratio
What is the ratio of the length of the Mississippi River to the length of the Rhine River?,"SELECT    CAST((SELECT length FROM river WHERE LOWER(river_name) LIKE '%mississippi%') AS FLOAT) / NULLIF((SELECT length FROM river WHERE LOWER(river_name) LIKE '%rhine%'), 0) AS ratio ;",geography,ratio
What is the ratio of the altitude of Mount Everest to the altitude of Dhaulagiri?,"SELECT    (CAST(everest.mountain_altitude AS FLOAT) / NULLIF(dhaulagiri.mountain_altitude, 0)) AS altitude_ratio FROM    (SELECT mountain_altitude FROM mountain WHERE LOWER(mountain_name) LIKE '%mount everest%') AS everest,   (SELECT mountain_altitude FROM mountain WHERE LOWER(mountain_name) LIKE '%dhaulagiri%') AS dhaulagiri;",geography,ratio
What is the highest point in each state and what is the population density of that state?,"SELECT    highlow.state_name,    highlow.highest_point,    state.density FROM    highlow JOIN    state ON highlow.state_name = state.state_name GROUP BY    highlow.state_name,    highlow.highest_point,    state.density;",geography,table_join
Which cities are not associated with any state?,SELECT city.city_name FROM city LEFT JOIN state ON city.state_name = state.state_name WHERE state.state_name IS NULL;,geography,table_join
Which countries have lakes and rivers?,SELECT DISTINCT lake.country_name FROM public.lake JOIN public.river ON lake.country_name = river.country_name; ,geography,table_join
What is the average length of rivers per country in countries with a lake?,"SELECT l.country_name, AVG(r.length) AS average_length FROM river r JOIN lake l ON r.country_name = l.country_name GROUP BY 1;",geography,table_join
What is the ratio of the area of each lake to the total area of the state it is located in?,"SELECT lake.lake_name, lake.area / NULLIF(state.area, 0) AS ratio FROM lake JOIN state ON lake.state_name = state.state_name;",geography,table_join
Get the cities in the United States and their population ,"SELECT city_name, population FROM city WHERE country_name = 'United States'; ",geography,where
What are the areas of the lakes in Michigan?,"SELECT lake_name, area FROM lake WHERE state_name = 'Michigan';",geography,where
What are the names and altitudes of the mountains in Nepal?,"SELECT mountain_name, mountain_altitude FROM mountain WHERE country_name = 'Nepal'; ",geography,where
Which rivers traverse at least 3 cities/landmarks?,"SELECT river_name, length FROM river WHERE traverse LIKE '%,%,%'; ",geography,where
Which states have fewer than a hundred thousand people?,SELECT state_name FROM state WHERE population < 100000;,geography,where
What is the total count of restaurants in each city?,"SELECT location.city_name, COUNT(DISTINCT location.restaurant_id) AS total_count FROM location GROUP BY location.city_name;",restaurants,group_by
What is the average rating of restaurants serving each type of food?,"SELECT    restaurant.food_type,    AVG(restaurant.rating) AS average_rating FROM    restaurant GROUP BY    restaurant.food_type ORDER BY    average_rating DESC NULLS LAST;",restaurants,group_by
How many restaurants are there in each city? Order the results by the number of restaurants in descending order.,"SELECT location.city_name, COUNT(DISTINCT location.restaurant_id) AS number_of_restaurants FROM location GROUP BY location.city_name ORDER BY number_of_restaurants DESC NULLS LAST;",restaurants,group_by
What is the total number of restaurants serving each type of food?,"SELECT restaurant.food_type, COUNT(DISTINCT restaurant.id) AS total_number_of_restaurants FROM restaurant GROUP BY restaurant.food_type;",restaurants,group_by
How many restaurants serve Italian food in each city?,"SELECT location.city_name, COUNT(*) AS number_of_restaurants FROM location JOIN restaurant ON location.restaurant_id = restaurant.id WHERE restaurant.food_type ILIKE '%Italian%' GROUP BY location.city_name ORDER BY number_of_restaurants DESC NULLS LAST;",restaurants,group_by
What are the names of the top 3 restaurants with the highest ratings?,SELECT restaurant.name FROM restaurant ORDER BY restaurant.rating DESC NULLS LAST LIMIT 3;,restaurants,order_by
Which restaurants serve Italian cuisine or are located in New York City? Order the results by the restaurant name.,SELECT restaurant.name  FROM restaurant  JOIN location ON restaurant.id = location.restaurant_id  WHERE restaurant.food_type = 'Italian' OR location.city_name = 'New York'  ORDER BY restaurant.name NULLS LAST;,restaurants,order_by
What is the average rating of restaurants in each region? Order the results by the region name.,"SELECT geographic.region, AVG(restaurant.rating) AS average_rating FROM restaurant JOIN geographic ON restaurant.city_name = geographic.city_name GROUP BY geographic.region ORDER BY geographic.region NULLS LAST;",restaurants,order_by
Which street has the most number of restaurants?,SELECT DISTINCT location.street_name FROM location WHERE street_name = (SELECT street_name FROM location GROUP BY 1 ORDER BY COUNT(restaurant_id) DESC LIMIT 1);,restaurants,order_by
List the restaurants starting from the best ratings to the lowest,"SELECT {name, id}, rating FROM restaurant ORDER BY rating DESC; ",restaurants,order_by
What is the ratio of restaurants with a rating above 4.0 to restaurants with a rating below 4.0 overall?,"SELECT CAST(SUM(CASE WHEN restaurant.rating > 4.0 THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN restaurant.rating < 4.0 THEN 1 ELSE 0 END), 0) AS ratio FROM restaurant;",restaurants,ratio
What is the ratio of Italian restaurants out of all restaurants in Los Angeles?,"SELECT CAST(COUNT(CASE WHEN food_type = 'Italian' THEN 1 END) AS FLOAT) / NULLIF(COUNT(food_type), 0) AS ratio FROM    restaurant WHERE    city_name = 'Los Angeles';",restaurants,ratio
What is the ratio of restaurants serving vegan food to restaurants serving non-vegan food in San Francisco?,"SELECT    CAST(SUM(CASE WHEN LOWER(restaurant.food_type) LIKE '%vegan%' THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN LOWER(restaurant.food_type) NOT LIKE '%vegan%' THEN 1 ELSE 0 END), 0) AS ratio FROM    restaurant WHERE    LOWER(restaurant.city_name) = 'san francisco';",restaurants,ratio
What is the ratio of restaurants with a rating above 4 to restaurants with a rating below 4 in New York?,"SELECT    CAST(COUNT(CASE WHEN rating > 4 THEN 1 END) AS FLOAT) / NULLIF(COUNT(CASE WHEN rating < 4 THEN 1 END), 0) AS ratio FROM    restaurant WHERE    city_name ILIKE 'New York';",restaurants,ratio
What is the ratio of restaurants with rating > 4.5 to the total number of restaurants in the database.,SELECT COUNT(*)::float / (SELECT COUNT(*) FROM restaurant) AS rating_ratio FROM restaurant WHERE rating > 4.5;,restaurants,ratio
What is the average rating of restaurants in each region?,"SELECT geographic.region, AVG(restaurant.rating) AS average_rating FROM geographic JOIN restaurant ON geographic.city_name=restaurant.city_name GROUP BY 1;",restaurants,table_join
How many restaurants serve Italian food in each region?,"SELECT geographic.region, COUNT(restaurant.id) AS number_of_restaurants FROM restaurant JOIN geographic ON restaurant.city_name = geographic.city_name WHERE LOWER(restaurant.food_type) LIKE '%italian%' GROUP BY geographic.region ORDER BY number_of_restaurants DESC NULLS LAST;",restaurants,table_join
How many restaurants are there in each region?,"SELECT geographic.region, COUNT(DISTINCT location.restaurant_id) AS number_of_restaurants FROM geographic JOIN location ON geographic.city_name = location.city_name GROUP BY geographic.region ORDER BY number_of_restaurants DESC;",restaurants,table_join
What is the average rating of restaurants that serve Mexican food in each city?,"SELECT location.city_name, AVG(restaurant.rating) AS average_rating FROM restaurant JOIN location ON restaurant.id = location.restaurant_id WHERE LOWER(restaurant.food_type) LIKE '%mexican%' GROUP BY location.city_name;",restaurants,table_join
Which restaurants have the same name in each city, and what is the count?,"SELECT r.city_name, r.name, COUNT(*) as restaurant_count FROM restaurant r GROUP BY r.city_name, r.name HAVING COUNT(*) > 1;",restaurants,table_join
Which city has the highest-rated restaurant?,SELECT DISTINCT restaurant.city_name FROM restaurant WHERE rating=(SELECT MAX(rating) FROM restaurant);,restaurants,where
What are the names of the restaurants in Los Angeles that have a rating higher than 4?,SELECT DISTINCT restaurant.name FROM restaurant WHERE restaurant.city_name = 'Los Angeles' AND restaurant.rating > 4 ORDER BY restaurant.name NULLS LAST;,restaurants,where
What are the names of the restaurants that serve Italian food?,SELECT restaurant.name FROM restaurant WHERE LOWER(restaurant.food_type) = 'italian' ORDER BY restaurant.rating DESC NULLS LAST;,restaurants,where
What's the name and food type of all the restaurants located on Market St in San Francisco?,"SELECT restaurant.name, restaurant.food_type FROM restaurant JOIN location ON restaurant.id = location.restaurant_id WHERE location.street_name = 'Market St' AND location.city_name = 'San Francisco';",restaurants,where
What's the name and rating of all the restaurants that have a rating greater than 4 and are located in the city of New York?,"SELECT {restaurant.name, restaurant.id}, restaurant.rating FROM restaurant WHERE restaurant.rating > 4 AND restaurant.city_name = 'New York';",restaurants,where
